Rang,Interpret,Sprache,Titel,Jahr,text
1,Brings,Kölsch,Kölsche Jung,2013,"Oh, oh, oh, yeah-oh Oh, oh, oh, yeah-oh Oh, oh, oh, yeah-oh Oh, oh, oh, yeah-oh

Deutschunterricht, dat wor nix för mich
Dann ming Sproch, die jof et do nit
„Sprech ödentlich!“, hät de Mam jesaht
Di Zeuchniss, dat weed kene Hit
Ich sprech' doch nur ming eijene Sproch
Wusst nit, wat se vun mer will
Ejal, wat ich saachen dät
Et wor verkeht
Dann ich ben nur 'ne Kölsche Jung
Un mi Hätz, dat litt mr op d'r Zung
Op d'r Stross han ich ming Sprooch jeliehrt
Und jedes Wort wie tättowiert
Op minger Zung
Ich ben ne Kölsche Jung


Oh, oh, oh, yeah-oh Oh, oh, oh, yeah-oh
Ich ben 'ne Kölsche Jung
Oh, oh, oh, yeah-oh Oh, oh, oh, yeah-oh"
2,Kasalla,Kölsch,Pirate,2011,"Et weed verzällt se han ne Scheff jesinn
Dat kütt vun Zündorf in de Stadt erinn
An dr Südbrück is et ald vörbei
Mer hürt nor laache un Jeschrei
11 Staatse Sejel, wiess un rut
Un in dä Odere kölsches Bloot
Leeven Herjott stonn uns bei
Mer kumme och bei Üch vörbei
Pirate  wild un frei
Dreimol Kölle Ahoi
Rette sich wä kann, mer lääje aan
Pirate  wild un frei
Dreimol Kölle Ahoi
Und dä Dudekopp op unsrer Fahn
Hät en rude Pappnaas aan
Heyo! Hey Hey Ho!
Heyo! Hey Hey Ho!
Heyo! Hey Hey Ho!
Heyo! Hey Hey Ho!
Der Kahn der schwank, vom Bug nohm Heck
De Manschaff fiert met Käpten Jeck
Dä Pittermann an Deck jerollt
Dat sinn 10 Liter flüssisch Jold
Die Naach is jung, kutt all eraan
Maat rischtich Lärm, zündt de Lampe an
De Buddel Rum im Würjejriff
Hück versenke mer dat Scheff
Pirate  wild un frei
Dreimol Kölle Ahoi
Rette sich wer kann, mer lejen aan
Pirate  wild un frei
Dreimol Kölle Ahoi
Und dä Dudekopp op unsrer Fahn
Hät en rude Pappnaas aan
Heyo! Hey Hey Ho!
Heyo! Hey Hey Ho!
Heyo! Hey Hey Ho!
Heyo! Hey Hey Ho!
Wer weiß wie lang die Kääze brenne
Mer danze mem Klabautermann
Und lije mer och eimol op Melaten
Mer sinn op iwig
Pirate  wild un frei
Dreimol Kölle Ahoi
Rette sich wer kann, mer lejen aan
Pirate  wild un frei
Dreimol Kölle Ahoi
Und dr Dudekopp op unsrer Fahn
Hät en rude Pappnaas aan
Heyo! Hey Hey Ho!
Heyo! Hey Hey Ho!
Heyo! Hey Hey Ho!
Heyo! Hey Hey Ho!"
3,Cat Ballou,Kölsch,Et jitt kei Wood,2012,"Ich ben Lokalpatriot
Met stolzer Bross ming Fahn schwing rud un wieß
Alle wolle noh Berlin, erus en de große Welt
Doch mich kriss de hee nit fott
Ich kann nit sage, wat mich hee häld

Et gitt kei Wood, dat sage künnt,
Wat ich föhl, wann ich an Kölle denk
Wann ich an ming Heimat denk!



Han mich immer noch nit satt gehürt
An kölsche Leeder un dem Schmuh vum Rhing
Han mich immer noch nit satt gesinn
An all dä Hüüscher un dem Dom
Doch ich kann nit sage, wat mich hee häld

Et gitt kei Wood, dat sage künnt,
Wat ich föhl, wann ich an Kölle denk
Wann ich an ming Heimat denk!

Et gitt dausend schöne Leeder
En jedem stich jet Wohres dren
Doch et geiht unendlich wigger
Denn et es nie zo off gesaht

Et gitt kei Wood, dat sage künnt,
Wat ich föhl, wann ich an Kölle denk
Wann ich an ming Heimat denk!"
4,Trude Herr,Hochdeutsch,Ich will keine Schokolade,1965,"Ich lebe unerhört solide
Und habe nie ein Rendezvous 
Ich gehe höchstens mit den Eltern 
Ein Stück spazieren ab und zu 
Mein Vater sagt, so muss das bleiben
Und dafür schenkt er mir Konfekt 
Doch neulich platzte mir der Kragen
Weil mir Konfekt nun mal nicht schmeckt
Ich will keine Schokolade
Ich will lieber einen Mann
Ich will einen, den ich küssen 
Und um den Finger wickeln kann
Ich hatte neulich grad Geburtstag
Und diesen Tag vergess' ich nie
Denn alle Tanten und Verwandten 
Die waren mit von der Partie 
Sie brachten Rosen und Narzissen 
Und Schokolade zentnerschwer
Da hat's mich plötzlich fortgerissen
Ich schrie: „Ich will das Zeug nicht mehr!”
Ich will keine Schokolade
Ich will lieber einen Mann
Ich will einen, den ich küssen 
Und um den Finger wickeln kann
Ich kaufte Sonntag auf dem Rummel 
Für zwanzig Pfennig mir ein Los 
Ich hab auch wirklich was gewonnen
Doch die Enttäuschung, die war groß 
Denn ich gewann dort einen Teddy 
Aus Schokolad' und Marzipan 
Den schmiss' ich wütend in die Menge 
Und schrie den Losverkäufer an
Ich will keine Schokolade
Ich will lieber einen Mann
Ich will einen, den ich küssen 
Und um den Finger wickeln kann 
Ich will einen, den ich küssen 
Und um den Finger wickeln kann"
5,Brings,Kölsch,"Polka, Polka, Polka",2014,"Der Wind is kalt und rau
und mer wisse janz jenau,
et letzte Fass is leer
un die Knoche die sin schwer.
Doch wenn mir zusamme singe,
dann weet dat uch joot klinge,
wat sull uns schon passiere,
sulange mer et Lävve fiere.



Polka, Polka, Polka
vom Rhing bis an die Wolga.
Polka, Polka, Polka
der Pitter un die Olga.
Kabänes un ne Vodka,
Polka, Polka, Polka
alles halv su schlimm,
wenn mer zusamme sin.
Polka, Polka, Polka
vom Rhing bis an die Wolga.
Polka, Polka, Polka
der Pitter un die Olga.
Kabänes un ne Vodka,
Polka, Polka, Polka
alles halv su schlimm,
wenn mer zusamme sin.

Un is der Winter noch su lang,
mer glövve fes do dran.
Mer han su viel durchjemaht,
jetz mache mer uns grad.
Un steht die Welt in Flamme,
mer ston all zusamme.
Ejal woher mer kumme,
jetz han mer uns jefunge.

Polka, Polka, Polka
vom Rhing bis an die Wolga.
Polka, Polka, Polka
der Pitter un die Olga.
Kabänes un ne Vodka,
Polka, Polka, Polka
alles halv su schlimm,
wenn mer zusamme sin.
Polka, Polka, Polka
vom Rhing bis an die Wolga.
Polka, Polka, Polka
der Pitter un die Olga.
Kabänes un ne Vodka,
Polka, Polka, Polka
alles halv su schlimm,
wenn mer zusamme sin"
6,Kasalla,Kölsch,Alle Jläser huh,2014,"Eins, zwo, drei.
Johohohoo, johohohoo.
Ich wööd su jään met Dir eine drinke jonn, (-eo eo)
Et jöv su vill ze verzälle, (-eo-eo)
Et letzte Mol is iewig her,
doch dinge Platz he an d'r Thek,
dä bliev för immer leer.

Doch ich jläuv daran, dat du uns he sühs, (-eo eo)
und ich dräum davun datt du bei uns bes, (-eo eo)
Doröm hävve mir die Jläser dohin wo die Engel sin,
denn do bes du, luurs uns zo.



Doröm alle Jläser huh!
Op die Liebe, un et Lävve,
Op die Freiheit und d'r Dud
Kumm mer drinke uch met denne die im Himmel sin
Alle Jläser huh!
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo

Janz ejal ob du jet ze fiere häs, (-eo eo)
Alles oder nix ze verliere häs, (-eo eo)
Alle Jläser zo de Stääne,
denn die Engel die uns fähle
Stoße jään met uns aan

Op all die Bilder die lang verbliche sin (-eo eo)
un die Chance die all verstriche sinn (-eo eo)
Un en Rund op all die Stolperstein, die Fähler, Schramme un dä janze Schmu
Dat jehürt dozo!
Do drop alle Jläser huh!

Op die Liebe, un et Lävve,
Op die Freiheit und d'r Dud
Kumm mer drinke uch met denne die im Himmel sin
Alle Jläser huh!
Op die Liebe, un et Lävve,
Op die Freiheit und d'r Dud
Kumm mer drinke uch met denne die im Himmel sin
Alle Jläser huh!
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo

Ich kann üch da bovve fass sinn
Ihr sitz op d'r Wolk, hakt üch in
Un ihr singk:
Ooohoooo oooohoooohoho
Ooohoooo ooohooooohooooho

Op die Liebe, un et Lävve,
Op die Freiheit und d'r Dud
Kumm mer drinke uch met denne die im Himmel sin
Alle Jläser huh!
Op die Liebe, un et Lävve,
Op die Freiheit und d'r Dud
Kumm mer drinke uch met denne die im Himmel sin
Alle Jläser huh!
Op die Liebe (op die Liebe), un et Lävve (un et Lävve),
Op die Freiheit (op die Freiheit) und d'r Dud (un d'r Dud)
Kumm mer drinke uch met denne die im Himmel sin
Alle Jläser huh!
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
Alle Jläser huh! Hoooohooo
(Hoo hoo hoo)"
7,Höhner,Hochdeutsch,Schenk mir Dein Herz,2009,"Schenk mir heut' Nacht dein ganzes Herz
bleib bei mir
dann schenk ich dir mein ganzes Herz
und zeige dir
was dir gefällt - na na na na na na na
die ganze Welt - na na na na na na na
Schenk mir dein Herz
ich schenk' dir mein's
nur die Liebe zählt

Komm sei die Königin in meinem Königreich
ich schenke dir heut' ein Schloss am Rhein
mein Reich ist eine Brücke
die führt in's Glück hinein

Das Schloss ist nicht so gross
symbolisch eben nur
eiserner Liebestreueschwur
der unsere beiden Namen trägt
und diese hier



Schenk mir heut' Nacht dein ganzes Herz
und bleib' bei mir
dann schenk ich dir mein ganzes Herz
und zeige dir
was dir gefällt - na na na na na na na
die ganze Welt - na na na na na na na
und wenn du willst
auch noch ein bisschen mehr

Was dir gefällt - na na na na na na na
die ganze Welt - na na na na na na na
Schenk mir dein Herz
ich schenk' dir mein's
nur die Liebe zählt

Es ist ein neuer Brauch
er bringt uns beiden Glück
so ein Schloss kann jeder seh'n
und der Dom gibt Acht darauf
Züge kommen und geh'n
Ich schliesse unser Schloss
am Brückengitter an
und es ist doch nicht allein
Gemeinsam werfen wir den Schlüssel
in den Rhein hinein

Schenk mir heut' Nacht dein ganzes Herz
und bleib' bei mir
dann schenk ich dir mein ganzes Herz
und zeige dir
was dir gefällt - na na na na na na na
die ganze Welt - na na na na na na na
und wenn du willst
auch noch ein bisschen mehr

Was dir gefällt - na na na na na na na
die ganze Welt - na na na na na na na
Schenk mir dein Herz
ich schenk' dir mein's
nur die Liebe zählt

Ich trage dich auf Händen
ich bleib' dir ewig treu
im Zweifel hab' ich immer
nen Zweitschlüssel dabei

Schenk mir heut' Nacht dein ganzes Herz
und bleib' bei mir
dann schenk ich dir mein ganzes Herz
und zeige dir
was dir gefällt - na na na na na na na
die ganze Welt - na na na na na na na
und wenn du willst
auch noch ein bisschen mehr

Was dir gefällt - na na na na na na na
die ganze Welt - na na na na na na na
Schenk mir dein Herz
ich schenk' dir mein's
nur die Liebe zählt

Schenk mir dein Herz
ich schenk' dir mein's
nur die Liebe zählt"
8,Paveier,Kölsch,Leev Marie,2015,"Wenn ich Samstags Ovend eimol rus jon
Laufe mir die Mädche hingerher
Ich kann doch nit dofür dat ich su us sinn
Ne Mischung us George Clooney un nem Bär
Tag und Nacht such ich die große Liebe
Selvs Marie will immer nur das eine
Ich bin anders als die andern
Ich will noch so viel mehr
 
*Leev Marie, ich bin kein Mann für eine Nacht
Leev Marie, das habe ich noch nie gemacht
Leev Marie, es muß die Wahre Liebe sein
(Für eine Nacht bleib ich lieber allein)
 
Wat hann se mir nit alles schun versproche
Doch beim Fröhstück soß ich dann allein
Wie oft hann se mir et Hätz jebroche
Veel zu oft fiehl ich dropp ren
Mein Körper ist mir da für viel zu schade
Nein ich lasse mich nicht mehr benutzen
Ich kann sie nicht mehr hören diese frage
Jon mer zu dir oder zu mir La la la la la la la la la la la la,
La la la la la la la la la la la la"
9,Kasalla,Kölsch,Stadt met K,2015,"Hallo, Morje, jode Daach
Woröm luurt ihr mich esu aan
Vielleich hann ich se ni mieh all
doch wo ich häkumm es dat normal
Ich ben e besje sonderbar
e janz besonder Exemplar
Doch ich ben einer vun einer Million
E Kind vum Rhing un e Sohn vum Dom
Un fröch mich einer ""Wo küss Du dann her?""
Dann saach ich ich kumm
us däm Dorf öm dä Dom röm
Wie schwaads dann Du,
sach wo küss Du dann her?""
Schweres ELL und ES CEH HA
Ich kumm us dä Stadt met K
Schalalalala... Schalalala...
Ich kumm us dä Stadt met K
Ming Mamm es die Stadt met K
Sie is laut, drink vill un schwaad
Off zo schnell äwwer immer jraaduss
Sie is kein Modell äwwer süht jot us
Hey Mamm, mier sinn schwer in Love
Ding Kapell, dinge Fluss, ding Sproch
Karneval et janze Johr
Rock n Roll un Uff Tata
Un fröch mich einer ""Wo küss Du dann her?""
Dann saach ich ich kumm
us däm Dorf öm dä Dom röm
Wie schwaads Du dann,
sach wo küss Du dann her?""
Ich kumm niet Us Amerika –
ich kumm us der Stadt met K...
Ich kumm us dä Stadt met K ...
Un Drissejal watt Du he verlore häss
off De zojetrocke oder he jebore bess
Du bes einer vun einer Million
E Kind vum Rhing un e Sohn vum Dom
Weil uns Mamm einfach jeder adopteet
Der he opwääs oder he si Hätz verleet
Du bes Willkumme in de Städt met K
Hätzlich Willkumme in dä Stadt met K"
10,Mo-Torres & Cat Ballou & Lukas Podolski,Hochdeutsch,Liebe Deine Stadt,2016,"Guten Morgen meine heißgeliebte Stadt! 
Die Königin der Welt, auch wenn ich Reisefieber hab' 
Ab heute muss ich geh'n, ein Abschied auf Zeit 
Was ich empfinde, ist, was Liebe heißt 
Ich bekomme Heimweh, sobald ich die Stadtmauern verlasse 
Trag' die Fahne in die Welt, damit ich lache
Verschweige nicht, dass es wehtut an vielen Tagen
Doch ich leb' für meine Lieblingsfarben
Ich bin zwar grade nicht bei dir, aber du immer bei mir
Ob du absteigst oder ob du Doublesieger wirst
Und von der ersten Fahrt auf dem Dreirad
Bis zum allerletzten Herzschlag bist du Heimat

Ejal, wohin der Wind mich trägt
Ich nehm' dich überall mit hin; oh-oh-oh
Und bin ich uch am End von der Welt
Ich komm' zurück! Ich komm' irjendwann zurück!
Liebe deine Stadt!
Oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh-oh-oh

86 Veedel, neun Bezirke, die du beherbergst
Jede Nationalität für uns ein Mehrwert
Zwei Türme wachen über uns
Ohne schwarz-weiße Brille, diese Stadt ist kunterbunt
Und hektisch, wir leben hier im Vollspeed
Kinder werden später einmal Zehner wie Podolski
Ja, schon fast ein eigener Planet mit eigenem System
Über eine Million'n Menschen leiden mit dem FC
Bis in die fünfte Jahreszeit, in den Karneval
Das Dreigestirn bildet die Staatsgewalt
Nichts als der Thron ist der Standpunkt
Köln - du bist und bleibst der Dom in der Brandung!

Ejal, wohin der Wind mich trägt
Ich nehm' dich überall mit hin; oh-oh-oh
Und bin ich uch am End von der Welt
Ich komm' zurück! Ich komm' irjendwann zurück!
Liebe deine Stadt!

Oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh-oh - oh-oh-oh
Oh-oh-oh, oh-oh-oh-oh

Ejal, wohin der Wind mich trägt
Ich nehm' dich überall mit hin; oh-oh-oh
Und bin uch am End von der Welt
Ich komm' zurück! Ich komm' irjendwann zurück!
Liebe deine Stadt!

Oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh-oh - oh-oh-oh
Oh-oh-oh, oh-oh-oh-oh

Liebe deine Stadt!


Mehr songtexte: http://www.songtextemania.com/liebe_deine_stadt_songtext_mo-torres_cat_ballou_and_lukas_podolski.html
Alle Infos über Mo-torres Cat+Ballou+And+Lukas+Podolski: http://www.musictory.de/musik/"
